,institution,program,degree,season,admission_status,admission_via,admission_date,ST,Date_added,notes,Undergrad_GPA,GRE_V,GRE_Q,GRE_W,GRE_sub
0,UC Santa Barbara (UCSB),Applied Probability & Statistics,PhD,F20,Other,Other,4 Mar 2020,O,4 Mar 2020,"Has anyone heard from this program? Only saw 3 results on the Gradcafe, and the notification dates are Feb 19th, Feb 7th and Jan. A little bit weird, I though the graduate school will send out the results at the same time.",,,,,
1,Johns Hopkins University,Applied Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,U,4 Mar 2020,With tuition funding of 8300/year.,3.95,148.0,170.0,3.5,810.0
2,Rice University,Statistics,PhD,F20,Other,Phone,4 Mar 2020,U,4 Mar 2020,"I asked staff there, and she told me the first round offers were sent long time ago. Whether there's second round depends on the acceptance rate.    But I don't know further detail, and I think there wouldn't be another round. Sad.",,,,,
3,Rice University,Statistics,PhD,F20,Other,Other,4 Mar 2020,U,4 Mar 2020,That's it for this F2020 admission? Will there be further acceptance?,,,,,
4,Johns Hopkins University,Applied Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,U,3 Mar 2020,"This is the M.S.E program, not the M.A program",3.95,148.0,170.0,3.5,810.0
5,Penn State University,Master Of Applied Statistics,Masters,F20,Rejected,E-mail,3 Mar 2020,U,3 Mar 2020,.... 1st rej,,,,,
6,Boston University,Statistics In Natural Science And Arts Dept,PhD,F20,Rejected,E-mail,4 Mar 2020,U,3 Mar 2020,,,,,,
7,University Of Minnesota,Statistics,PhD,F20,Rejected,E-mail,3 Mar 2020,U,3 Mar 2020,,,,,,
8,"University Of California, Los Angeles",Statistics,PhD,F20,Accepted,E-mail,3 Mar 2020,U,3 Mar 2020,,,,,,
9,Northwestern University,Statistics,PhD,F20,Interview,E-mail,2 Mar 2020,I,3 Mar 2020,phone interview,,,,,
10,Carnegie Mellon University (CMU) - Robotics Institute,Statistics,PhD,F20,Accepted,Website,2 Mar 2020,I,3 Mar 2020,,,,,,
11,Columbia University,Statistics,PhD,F20,Other,Other,3 Mar 2020,O,2 Mar 2020,How come there is just one acceptance from Columbia? Do they send the offers on a rolling basis?,,,,,
12,Penn State (Pennsylvania State University),Applied Statistics,Masters,F20,Rejected,E-mail,3 Mar 2020,,2 Mar 2020,Expected,,,,,
13,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Wait listed,E-mail,2 Mar 2020,A,2 Mar 2020,,3.66,170.0,166.0,5.0,
14,Duke,Statistics,PhD,F20,Rejected,Website,2 Mar 2020,A,2 Mar 2020,,,,,,
15,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Wait listed,Website,2 Mar 2020,I,2 Mar 2020,,,,,,
16,Virginia Tech,Statistics,PhD,F20,Interview,E-mail,2 Mar 2020,U,2 Mar 2020,"Has anyone received the interview invitation? 
Ps. I guess they want to make funding decisions based on interview performance because I already got acceptance letter but no funding info mentioned.",,,,,
17,University Of Nebraska,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,A,2 Mar 2020,Nothing in the letter mentioning what the funding package is.,3.5,160.0,163.0,4.0,
18,Ohio State University,Statistics,PhD,F20,Accepted,E-mail,8 Jan 2020,U,1 Mar 2020,"Has everyone heard about the funding status? I am not in the fellowship pool, it seems that they have already made the decision about fellowship, I am just wondering have anyone not in the fellowship pool received an official offer about stipend",,,,,
19,George Washington University (GWU),Statistics,Masters,F19,Accepted,E-mail,28 Feb 2020,U,1 Mar 2020,,3.67,155.0,160.0,4.0,
20,Western Michigan University,Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,29 Feb 2020,,3.86,154.0,165.0,4.5,
21,San Diego State University (SDSU),Statistics,Masters,F20,Accepted,E-mail,29 Feb 2020,U,29 Feb 2020,,3.86,154.0,165.0,4.5,
22,University Of British Columbia,Statistics,PhD,F20,Accepted,E-mail,27 Feb 2020,I,29 Feb 2020,,,,,,
23,University Of Chicago,Statistics,PhD,F20,Rejected,Website,25 Feb 2020,I,29 Feb 2020,Accepted into Master's though,3.94,151.0,170.0,4.0,970.0
24,Stanford University,Statistics,Masters,F20,Rejected,E-mail,21 Feb 2020,I,29 Feb 2020,,3.94,151.0,170.0,4.0,970.0
25,Johns Hopkins University,Applied Mathematics & Statistics,PhD,F20,Accepted,Website,26 Feb 2020,I,29 Feb 2020,,3.94,151.0,170.0,4.0,970.0
26,Columbia University,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,29 Feb 2020,Got two emails. One asking to check website. The other is unofficial offer letter.,,,,,
