institution,location,year,rank,ovr_score,academic_reputation,employer_reputation,cite_per_paper,h_index_citation
Massachusetts Institute of Technology (MIT),United States,2020,1,97.2,100,96.7,88.9,98.8
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2020,=2,93.4,94,78.7,97.5,94.9
Stanford University,United States,2020,=2,93.4,93.8,95.5,86.7,98.2
Harvard University,United States,2020,4,93.3,92.4,100,85.6,100
University of Oxford,United Kingdom,2020,5,92,91.2,95.3,84.9,99.4
University of Cambridge,United Kingdom,2020,6,91.5,92.7,96.5,84.8,92.7
"University of California, Berkeley (UCB)",United States,2020,7,91.3,91,88.2,86.6,98.2
Imperial College London,United Kingdom,2020,8,89.2,91.4,85.8,82.9,91.9
Georgia Institute of Technology,United States,2020,9,88.7,91.5,73.4,83.3,94.9
Carnegie Mellon University,United States,2020,10,87.3,87.1,75.4,86.8,94.2
National University of Singapore (NUS),Singapore,2020,11,87.2,84.2,86.4,82.8,99.4
Princeton University,United States,2020,12,86.7,82.7,85.2,88.3,95.6
Columbia University,United States,2020,13,86.1,83,84.2,85.1,95.6
University of Michigan-Ann Arbor,United States,2020,14,84.8,81.8,77,82,98.8
University of Toronto,Canada,2020,15,84.5,79.1,83.1,96,87
The University of Warwick,United Kingdom,2020,=16,83.4,83.5,79.3,78.8,89.6
Tsinghua University,China (Mainland),2020,=16,83.4,80.9,84.8,81.1,91.2
Cornell University,United States,2020,18,83,81.6,79,80.4,91.2
The London School of Economics and Political Science (LSE),United Kingdom,2020,19,82.6,84.5,88.5,75.4,82.1
"University of California, Los Angeles (UCLA)",United States,2020,20,82.4,80.8,87.1,80.3,86
Université PSL,France,2020,21,82.3,77.6,84.6,81.2,94.2
University of Pennsylvania,United States,2020,22,82,76.6,85.6,82.4,93.4
UCL,United Kingdom,2020,=23,81.8,77.7,78.6,84.9,90.4
University of Chicago,United States,2020,=23,81.8,81.8,83.1,79.9,83.1
University of Washington,United States,2020,=23,81.8,80.3,67.7,81.1,93.4
Duke University,United States,2020,26,81.3,79,72.2,80.9,91.9
University of Wisconsin-Madison,United States,2020,27,81,74.4,63.7,99.4,87.8
The University of Tokyo,Japan,2020,28,80.3,81.2,84.2,75.3,81
Université de Montréal,Canada,2020,29,80.2,72.7,70.4,85.9,98.2
KU Leuven,Belgium,2020,30,80.1,76.5,69.5,82.7,91.9
Eindhoven University of Technology,Netherlands,2020,31,79.6,74.5,71.6,84,91.9
Peking University,China (Mainland),2020,=32,79.5,77.6,81.2,79.6,83.1
The University of Melbourne,Australia,2020,=32,79.5,74,84.7,84,86
University of British Columbia,Canada,2020,34,79.2,76.9,83.6,77.9,84.1
The Hong Kong University of Science and Technology,Hong Kong SAR,2020,35,79.1,78,81.2,80.1,79.9
The University of Manchester,United Kingdom,2020,36,78.9,74.1,73.9,79.6,92.7
KTH Royal Institute of Technology,Sweden,2020,=37,78.5,73.5,68.1,90.7,84.1
University of Southampton,United Kingdom,2020,=37,78.5,74.4,74.8,82.1,87
Seoul National University,South Korea,2020,=39,78.1,76.8,80.5,76.3,82.1
Sorbonne University,France,2020,=39,78.1,74,74.8,78.6,89.6
Northwestern University,United States,2020,41,78,73.1,80.6,81.7,85.1
Shanghai Jiao Tong University,China (Mainland),2020,42,77.5,71,78.7,82,88.7
"Nanyang Technological University, Singapore (NTU)",Singapore,2020,43,77.4,74.8,81.5,76.9,82.1
Yale University,United States,2020,44,77.2,72.1,88.3,77.7,84.1
Purdue University,United States,2020,=45,77.1,75.7,66.1,79.2,84.1
University of Bristol,United Kingdom,2020,=45,77.1,73.4,69.2,82.3,85.1
"University of North Carolina, Chapel Hill",United States,2020,=45,77.1,72.5,67.2,79.4,91.2
The University of Sydney,Australia,2020,48,76.9,70.7,83.7,80.6,85.1
University of Texas at Austin,United States,2020,49,76.6,70.4,77.8,82.8,85.1
Johns Hopkins University,United States,2020,=50,76.5,71.9,67.1,83.1,86
Lancaster University,United Kingdom,2020,=50,76.5,72.5,71,81.8,84.1
The University of Hong Kong,Hong Kong SAR,2020,=50,76.5,70.3,83.1,81.9,83.1
Arizona State University,United States,2020,51-100,NaN,62.4,65.3,83,84.1
The Australian National University,Australia,2020,51-100,NaN,73.8,81.7,71.7,75
City University of Hong Kong,Hong Kong SAR,2020,51-100,NaN,67,69.7,82.2,86
Erasmus University Rotterdam,Netherlands,2020,51-100,NaN,73.9,77.2,77.2,79.9
Fudan University,China (Mainland),2020,51-100,NaN,72.2,79.4,77.4,83.1
Humboldt-Universität zu Berlin,Germany,2020,51-100,NaN,73.8,70,77.7,83.1
Korea University,South Korea,2020,51-100,NaN,68.7,79.4,69,73.6
Ludwig-Maximilians-Universität München,Germany,2020,51-100,NaN,72,65.5,77.5,81
McGill University,Canada,2020,51-100,NaN,73.8,73.2,74.6,79.9
McMaster University,Canada,2020,51-100,NaN,66.1,68.3,100,82.1
Michigan State University,United States,2020,51-100,NaN,63.1,66.7,81.3,85.1
Monash University,Australia,2020,51-100,NaN,70,80.2,85.7,78.7
National Tsing Hua University,Taiwan,2020,51-100,NaN,67.3,79.3,67.3,73.6
New York University (NYU),United States,2020,51-100,NaN,70.4,78,80.7,84.1
North Carolina State University,United States,2020,51-100,NaN,65.9,62.4,79.8,88.7
The Ohio State University,United States,2020,51-100,NaN,55.6,68.8,85.8,86
Pennsylvania State University,United States,2020,51-100,NaN,69,68.6,80.3,89.6
RWTH Aachen University,Germany,2020,51-100,NaN,70.7,64.5,95.6,76.3
Sapienza University of Rome,Italy,2020,51-100,NaN,68.4,67.3,73.6,81
Stockholm University,Sweden,2020,51-100,NaN,63.9,54.4,86.7,73.6
Technische Universität Berlin (TU Berlin),Germany,2020,51-100,NaN,77.1,59.1,78.9,78.7
Texas A&M University,United States,2020,51-100,NaN,73.8,67.2,76.8,84.1
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2020,51-100,NaN,70.1,74.9,74.1,73.6
The Hong Kong Polytechnic University,Hong Kong SAR,2020,51-100,NaN,63.8,69.4,86.9,93.4
The University of Auckland,New Zealand,2020,51-100,NaN,72.1,75.2,72.1,73.6
The University of New South Wales (UNSW Sydney),Australia,2020,51-100,NaN,65.5,82.3,79.7,85.1
University of Nottingham,United Kingdom,2020,51-100,NaN,65.9,69.5,82.8,85.1
The University of Queensland,Australia,2020,51-100,NaN,69.6,79.4,78.5,76.3
Tokyo Institute of Technology (Tokyo Tech),Japan,2020,51-100,NaN,74.3,71.2,66.3,75
Universidad Carlos III de Madrid (UC3M),Spain,2020,51-100,NaN,64.9,69.7,70.3,77.5
Universidade de São Paulo,Brazil,2020,51-100,NaN,68.2,77.3,71.8,93.4
Università di Padova,Italy,2020,51-100,NaN,59.9,73,76.9,84.1
Alma Mater Studiorum - University of Bologna,Italy,2020,51-100,NaN,68.7,73.8,81.1,90.4
Université catholique de Louvain (UCLouvain),Belgium,2020,51-100,NaN,70.3,62.6,78,84.1
Université Paris-Saclay,France,2020,51-100,NaN,61.2,62.3,77.4,84.1
University of Amsterdam,Netherlands,2020,51-100,NaN,67.1,74.5,81.2,91.2
University of Bath,United Kingdom,2020,51-100,NaN,61,69.3,78.9,82.1
"University of California, Davis",United States,2020,51-100,NaN,64.9,68.9,80.1,87.8
"University of California, San Diego (UCSD)",United States,2020,51-100,NaN,67.5,75.4,86.5,88.7
University of Copenhagen,Denmark,2020,51-100,NaN,63.3,61.7,82,87
The University of Edinburgh,United Kingdom,2020,51-100,NaN,71.3,73.3,75.4,77.5
University of Florida,United States,2020,51-100,NaN,60.3,64.5,78.4,84.1
University of Groningen,Netherlands,2020,51-100,NaN,62.7,62.9,80.4,82.1
University of Illinois at Urbana-Champaign,United States,2020,51-100,NaN,71,75.2,78.7,85.1
"University of Maryland, College Park",United States,2020,51-100,NaN,66.2,58.6,83.7,88.7
University of Minnesota Twin Cities,United States,2020,51-100,NaN,67.1,54.6,81.9,92.7
University of Southern California,United States,2020,51-100,NaN,58.4,71,80.4,83.1
University of Waterloo,Canada,2020,51-100,NaN,72.3,78.3,72.6,77.5
Virginia Polytechnic Institute and State University,United States,2020,51-100,NaN,67.5,63.4,79.5,84.1
Vrije Universiteit Amsterdam,Netherlands,2020,51-100,NaN,62.2,66.2,75.2,81
Zhejiang University,China (Mainland),2020,51-100,NaN,64.4,74.1,77.4,82.1
Aarhus University,Denmark,2020,101-150,NaN,68,64,69.1,73.6
Beihang University (former BUAA),China (Mainland),2020,101-150,NaN,55.7,53,77.4,86
Boston University,United States,2020,101-150,NaN,55.5,68.4,82.7,83.1
Chalmers University of Technology,Sweden,2020,101-150,NaN,64.2,57,68,76.3
University of Göttingen,Germany,2020,101-150,NaN,64.7,37.4,78.7,85.1
Harbin Institute of Technology,China (Mainland),2020,101-150,NaN,57,57.5,76.9,83.1
Huazhong University of Science and Technology,China (Mainland),2020,101-150,NaN,55.2,56.9,84,84.1
Indian Institute of Technology Delhi (IITD),India,2020,101-150,NaN,63.7,70.9,66.5,73.6
Iowa State University,United States,2020,101-150,NaN,61.3,50.7,75.4,82.1
King Abdulaziz University (KAU),Saudi Arabia,2020,101-150,NaN,54.4,59.6,85.9,92.7
Leiden University,Netherlands,2020,101-150,NaN,56.6,68.4,69.9,83.1
Lomonosov Moscow State University,Russia,2020,101-150,NaN,70.3,86.5,54.1,63.8
Lund University,Sweden,2020,101-150,NaN,64.5,59.2,71.4,77.5
Middle East Technical University,Turkey,2020,101-150,NaN,61.4,67.1,61.8,73.6
Nanjing University,China (Mainland),2020,101-150,NaN,60,66,68.2,75
National Cheng Kung University (NCKU),Taiwan,2020,101-150,NaN,57.7,72.5,74.7,76.3
National Chiao Tung University,Taiwan,2020,101-150,NaN,58.8,76.7,65.1,72.2
Osaka University,Japan,2020,101-150,NaN,65.6,67.5,63.9,70.7
Pontificia Universidad Católica de Chile (UC),Chile,2020,101-150,NaN,61.2,81.4,64.8,73.6
Queensland University of Technology (QUT),Australia,2020,101-150,NaN,67.8,64.8,70.1,70.7
Rice University,United States,2020,101-150,NaN,56.6,66.5,70.8,78.7
Rutgers University–New Brunswick,United States,2020,101-150,NaN,53.2,58.2,80.3,84.1
Sungkyunkwan University(SKKU),South Korea,2020,101-150,NaN,66.1,74.4,64.7,65.7
Vienna University of Technology,Austria,2020,101-150,NaN,69.2,55.5,66.2,75
The University of Sheffield,United Kingdom,2020,101-150,NaN,61.1,67.4,72.8,79.9
Tilburg University,Netherlands,2020,101-150,NaN,58.7,70.2,71.9,77.5
Tongji University,China (Mainland),2020,101-150,NaN,55.8,56,82.2,86
Universidade Estadual de Campinas (Unicamp),Brazil,2020,101-150,NaN,68.4,68.6,66.6,69.1
Universidade Federal do Rio de Janeiro,Brazil,2020,101-150,NaN,63.4,64,63.1,70.7
University of Pisa,Italy,2020,101-150,NaN,57.9,68.8,69.5,77.5
Universitat Autònoma de Barcelona,Spain,2020,101-150,NaN,62.9,64.9,66,69.1
Universitat de Barcelona,Spain,2020,101-150,NaN,57.9,71.3,68.7,76.3
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,2020,101-150,NaN,62.1,65.6,70.5,76.3
University of Vienna,Austria,2020,101-150,NaN,57.3,59.9,78.1,87.8
"University of California, Santa Barbara (UCSB)",United States,2020,101-150,NaN,57.7,66.6,71.8,76.3
University of Geneva,Switzerland,2020,101-150,NaN,56.9,55.4,80.7,78.7
Ghent University,Belgium,2020,101-150,NaN,55.1,49.4,78.9,83.1
University of Lisbon,Portugal,2020,101-150,NaN,57.7,70.7,76.3,87
Université de Paris,France,2020,101-150,NaN,59.3,53.7,76.7,84.1
University of Technology Sydney,Australia,2020,101-150,NaN,60.9,73.5,69.2,73.6
University of Wollongong,Australia,2020,101-150,NaN,59.1,75.1,69.5,76.3
University of Zurich,Switzerland,2020,101-150,NaN,62.3,65.1,75.2,76.3
Uppsala University,Sweden,2020,101-150,NaN,63,54.7,86.9,72.2
Utrecht University,Netherlands,2020,101-150,NaN,61.4,63,74.5,83.1
Western University,Canada,2020,101-150,NaN,58.3,74.9,72.2,82.1
Xi’an Jiaotong University,China (Mainland),2020,101-150,NaN,61.1,62.9,77.5,82.1
Yonsei University,South Korea,2020,101-150,NaN,67.6,77.2,58.5,63.8
Beijing Institute of Technology,China (Mainland),2020,151-200,NaN,53.5,62.7,69.2,73.6
Beijing Jiaotong University,China (Mainland),2020,151-200,NaN,49.1,54.7,79.3,87
Beijing Normal University,China (Mainland),2020,151-200,NaN,49.8,62.5,74,77.5
Brown University,United States,2020,151-200,NaN,57.4,70.8,70.2,70.7
Cardiff University,United Kingdom,2020,151-200,NaN,54.8,54.8,76.3,81
Colorado State University,United States,2020,151-200,NaN,54.1,61.7,63.6,73.6
Florida State University,United States,2020,151-200,NaN,52.8,66.3,66.9,78.7
Indian Institute of Technology Bombay (IITB),India,2020,151-200,NaN,59.8,79.6,55.6,65.7
Indian Institute of Technology Kanpur (IITK),India,2020,151-200,NaN,57.1,69,64.5,78.7
Indian Institute of Technology Kharagpur (IIT-KGP),India,2020,151-200,NaN,56.9,64.4,71.2,75
Indian Statistical Institute,India,2020,151-200,NaN,59.3,48.1,65.2,76.3
Université Laval,Canada,2020,151-200,NaN,47.2,64.3,77,83.1
Maastricht University,Netherlands,2020,151-200,NaN,54.3,60.3,66.9,72.2
Nankai University,China (Mainland),2020,151-200,NaN,54.7,50.2,75.5,79.9
HSE University (National Research University Higher School of Economics),Russia,2020,151-200,NaN,59.3,77.6,55.4,65.7
National Technical University of Athens,Greece,2020,151-200,NaN,53.9,73.7,62.2,69.1
Newcastle University,United Kingdom,2020,151-200,NaN,58.6,62.3,66.7,72.2
Renmin (People's) University of China,China (Mainland),2020,151-200,NaN,58,62.9,63.4,73.6
Sharif University of Technology,"Iran, Islamic Republic of",2020,151-200,NaN,51.1,57.5,73.3,84.1
Sun Yat-sen University,China (Mainland),2020,151-200,NaN,53,60.4,72.1,76.3
TU Dortmund University,Germany,2020,151-200,NaN,64,51.3,59.6,65.7
Tel Aviv University,Israel,2020,151-200,NaN,50.2,47.3,77.6,77.5
The University of Western Australia,Australia,2020,151-200,NaN,58,73,57.8,63.8
Complutense University of Madrid,Spain,2020,151-200,NaN,53.4,71.9,68.6,70.7
Universidade Federal de Minas Gerais,Brazil,2020,151-200,NaN,58,49.9,65,75
Universidade Federal de Pernambuco (UFPE),Brazil,2020,151-200,NaN,51.2,39,72.2,86
University of Naples - Federico II,Italy,2020,151-200,NaN,51.5,63.9,72.8,83.1
Université de Montpellier,France,2020,151-200,NaN,55.1,59.3,74.8,78.7
Université Paul Sabatier Toulouse III,France,2020,151-200,NaN,60.6,58.7,63.3,75
Universiti Malaya (UM),Malaysia,2020,151-200,NaN,60.1,70,63.2,65.7
Universiti Sains Malaysia (USM),Malaysia,2020,151-200,NaN,59.5,61.1,59.9,69.1
University College Dublin,Ireland,2020,151-200,NaN,53.5,71.9,71.9,78.7
University of Alberta,Canada,2020,151-200,NaN,55.1,61.3,74.7,75
University of Birmingham,United Kingdom,2020,151-200,NaN,52.4,65.5,70.2,73.6
University of Calgary,Canada,2020,151-200,NaN,53.3,70.1,64,72.2
"University of California, Irvine",United States,2020,151-200,NaN,55.4,53.8,76.5,77.5
UCT Graduate School of Business,South Africa,2020,151-200,NaN,58.1,61.8,60.3,70.7
University of Glasgow,United Kingdom,2020,151-200,NaN,61.3,65.3,57.8,59.7
University of Gothenburg,Sweden,2020,151-200,NaN,56.9,59.9,63.3,67.4
University of Helsinki,Finland,2020,151-200,NaN,60.4,58.6,67.9,70.7
University of Iowa,United States,2020,151-200,NaN,56.1,56.6,76.6,73.6
University of Leeds,United Kingdom,2020,151-200,NaN,53,63.5,75.9,81
University of Liverpool,United Kingdom,2020,151-200,NaN,57,59.1,65.5,67.4
University of Massachusetts Amherst,United States,2020,151-200,NaN,53.6,58.8,70.7,73.6
University of Pittsburgh,United States,2020,151-200,NaN,55.4,52,73.4,77.5
University of Southern Denmark (SDU),Denmark,2020,151-200,NaN,47.9,46.9,83.6,85.1
University of St Andrews,United Kingdom,2020,151-200,NaN,61.2,64.8,62.1,63.8
University of Strathclyde,United Kingdom,2020,151-200,NaN,51.6,62.6,67.8,75
University of Twente,Netherlands,2020,151-200,NaN,51.7,66.3,74.1,81
University of Virginia,United States,2020,151-200,NaN,49.7,61.2,88.6,75
Massachusetts Institute of Technology (MIT),United States,2019,1,98.4,99.1,97.6,95.8,99.4
Harvard University,United States,2019,2,98.1,98.5,100,94,100
Stanford University,United States,2019,3,97.8,100,96.2,93.4,97.3
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2019,4,97.2,100,76.3,99.8,98
University of Cambridge,United Kingdom,2019,5,96.6,98.1,96.2,92.3,97.3
"University of California, Berkeley (UCB)",United States,2019,6,96.3,97.8,90.2,93.1,98.7
University of Oxford,United Kingdom,2019,7,95.7,96.1,95.7,92.3,98
Georgia Institute of Technology,United States,2019,8,93,97.4,73.2,91,93.7
National University of Singapore (NUS),Singapore,2019,9,92.7,92,87.3,90.4,99.4
Carnegie Mellon University,United States,2019,10,91.9,92.7,78.5,94.9,93.7
Princeton University,United States,2019,11,91.6,89.1,95.3,95.6,92.1
Imperial College London,United Kingdom,2019,12,91.5,94.2,82.9,89.4,91.2
Columbia University,United States,2019,13,89.9,88.4,86,89.8,95.9
University of Toronto,Canada,2019,14,88.9,84.4,88.8,96.8,92.1
University of Michigan-Ann Arbor,United States,2019,15,88.7,87.4,75.9,88.4,98.7
The University of Warwick,United Kingdom,2019,16,87.7,87.8,77.7,87.3,92.9
University of Washington,United States,2019,17,87.6,86.7,76,89.3,93.7
Cornell University,United States,2019,18,87.5,87.8,80.6,88.1,89.5
Tsinghua University,China (Mainland),2019,19,86.9,85.1,86.1,87.7,91.2
University of Chicago,United States,2019,20,86.8,87.7,82,87.8,85.7
University of Pennsylvania,United States,2019,21,86.7,82.3,88.1,91.8,92.1
"University of California, Los Angeles (UCLA)",United States,2019,22,86.1,86.9,87.5,89.4,80.2
The London School of Economics and Political Science (LSE),United Kingdom,2019,23,86,89.9,87.7,80,81.4
The University of Melbourne,Australia,2019,24,85.5,80.7,92.2,90.1,89.5
Duke University,United States,2019,25,85.4,85,73,86.9,91.2
KU Leuven,Belgium,2019,26,85.2,81.6,74.2,90.3,94.4
UCL,United Kingdom,2019,27,85,80.3,76.6,92.9,92.9
Université PSL,France,2019,28,84.9,80.8,82.2,88.6,92.9
The Hong Kong University of Science and Technology,Hong Kong SAR,2019,=29,84.8,82.5,85.9,89.9,84.7
The University of Tokyo,Japan,2019,=29,84.8,86.2,86.4,82.8,82.5
University of British Columbia,Canada,2019,31,84.5,82.4,84.8,86.5,87.6
Université de Montréal,Canada,2019,32,84.1,77.7,72.4,94.7,95.2
Northwestern University,United States,2019,33,83.3,78.8,83.3,90.3,87.6
The Australian National University,Australia,2019,=34,83.2,78.5,84.8,97.3,80.2
The University of Hong Kong,Hong Kong SAR,2019,=34,83.2,78.5,89.2,91.6,83.6
"Nanyang Technological University, Singapore (NTU)",Singapore,2019,36,83.1,78.8,89.3,88.1,85.7
University of Wisconsin-Madison,United States,2019,37,83,79,65.4,99.2,85.7
Yale University,United States,2019,38,82.8,78.3,89.4,87.9,85.7
Eindhoven University of Technology,Netherlands,2019,=39,82.1,77.5,66,92.6,91.2
KTH Royal Institute of Technology,Sweden,2019,=39,82.1,78.1,70.5,96.6,83.6
McGill University,Canada,2019,=39,82.1,80.9,77.5,84.6,84.7
"University of North Carolina, Chapel Hill",United States,2019,=39,82.1,78,66.6,89.4,92.9
Shanghai Jiao Tong University,China (Mainland),2019,=43,81.8,77,78.7,90.3,86.7
The University of Queensland,Australia,2019,=43,81.8,74,81.3,98.8,84.7
University of Amsterdam,Netherlands,2019,=43,81.8,74.6,73.4,90.8,95.2
Peking University,China (Mainland),2019,46,81.5,80,82,86.5,80.2
Monash University,Australia,2019,47,81.4,76.4,81.9,92.3,82.5
Sorbonne University,France,2019,=48,81.3,78,76.1,84.6,88.6
University of Southampton,United Kingdom,2019,=48,81.3,78.4,69.9,88.7,86.7
"University of California, San Diego (UCSD)",United States,2019,=50,81.2,73.3,79,95.4,87.6
University of Illinois at Urbana-Champaign,United States,2019,=50,81.2,76.5,75.8,87.4,89.5
Arizona State University,United States,2019,51-100,NaN,65.3,61.3,90.4,88.6
City University of Hong Kong,Hong Kong SAR,2019,51-100,NaN,74.9,76.6,89.1,86.7
Erasmus University Rotterdam,Netherlands,2019,51-100,NaN,78.3,72.1,86.8,80.2
Fudan University,China (Mainland),2019,51-100,NaN,76.9,77.4,85.4,82.5
University of Göttingen,Germany,2019,51-100,NaN,71.5,40.1,85.2,85.7
Humboldt-Universität zu Berlin,Germany,2019,51-100,NaN,78.7,71.4,85.3,81.4
Johns Hopkins University,United States,2019,51-100,NaN,77.1,66.9,90.6,85.7
Lancaster University,United Kingdom,2019,51-100,NaN,74.5,66.7,89.7,84.7
Ludwig-Maximilians-Universität München,Germany,2019,51-100,NaN,77.2,68.8,83.5,82.5
McMaster University,Canada,2019,51-100,NaN,69.7,74.7,100,83.6
Michigan State University,United States,2019,51-100,NaN,68.2,58.4,88.7,88.6
National Tsing Hua University,Taiwan,2019,51-100,NaN,72.3,82.3,74.4,73.5
New York University (NYU),United States,2019,51-100,NaN,77.4,75,83.7,79
North Carolina State University,United States,2019,51-100,NaN,68.2,60.3,86.5,87.6
The Ohio State University,United States,2019,51-100,NaN,61.6,70.7,91.6,89.5
Pennsylvania State University,United States,2019,51-100,NaN,74.3,70.8,88.5,89.5
Purdue University,United States,2019,51-100,NaN,80.2,69.9,85.1,83.6
RWTH Aachen University,Germany,2019,51-100,NaN,75.4,63.9,96.7,77.7
Sapienza University of Rome,Italy,2019,51-100,NaN,69.3,69.7,81.5,81.4
Seoul National University,South Korea,2019,51-100,NaN,75.2,82.4,83,83.6
Stockholm University,Sweden,2019,51-100,NaN,69.7,57.4,91.8,75
Technische Universität Berlin (TU Berlin),Germany,2019,51-100,NaN,82,60.3,85.1,79
Texas A&M University,United States,2019,51-100,NaN,78.2,68.2,84.4,88.6
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2019,51-100,NaN,76.9,80.2,84,80.2
The Hong Kong Polytechnic University,Hong Kong SAR,2019,51-100,NaN,67,73.2,93.8,95.2
The University of Auckland,New Zealand,2019,51-100,NaN,77.4,80.5,96.2,75
The University of Manchester,United Kingdom,2019,51-100,NaN,75.8,74.6,87,91.2
The University of New South Wales (UNSW Sydney),Australia,2019,51-100,NaN,70.8,83.5,84.6,83.6
University of Nottingham,United Kingdom,2019,51-100,NaN,70.7,68.5,90.8,83.6
The University of Sydney,Australia,2019,51-100,NaN,75.2,85.7,86.9,84.7
Tokyo Institute of Technology (Tokyo Tech),Japan,2019,51-100,NaN,79.1,70.1,72.5,73.5
Universidade de São Paulo,Brazil,2019,51-100,NaN,74.7,77.1,79.4,88.6
Università di Padova,Italy,2019,51-100,NaN,61.9,77.2,87,89.5
Alma Mater Studiorum - University of Bologna,Italy,2019,51-100,NaN,72,76,87.9,87.6
Université catholique de Louvain (UCLouvain),Belgium,2019,51-100,NaN,74.2,61.2,85.9,86.7
University of Bristol,United Kingdom,2019,51-100,NaN,75.1,64.6,90.1,89.5
"University of California, Davis",United States,2019,51-100,NaN,70.8,65.4,85.8,82.5
University of Copenhagen,Denmark,2019,51-100,NaN,70.3,58.5,84.7,83.6
The University of Edinburgh,United Kingdom,2019,51-100,NaN,73.6,76.1,79.8,73.5
University of Florida,United States,2019,51-100,NaN,65,70.4,85.8,85.7
University of Groningen,Netherlands,2019,51-100,NaN,68,53.7,87,85.7
"University of Maryland, College Park",United States,2019,51-100,NaN,73.2,61.4,91,87.6
University of Minnesota Twin Cities,United States,2019,51-100,NaN,72.3,44.4,89,95.2
University of Southern California,United States,2019,51-100,NaN,62.5,76.9,88.4,86.7
