,institution,program,degree,season,admission_status,admission_via,admission_date,ST,Date_added,notes,Undergrad_GPA,GRE_V,GRE_Q,GRE_W,GRE_sub
0,Iowa State University,Statistics,PhD,F20,Wait listed,Website,8 Mar 2020,U,8 Mar 2020,Expected,,,,,
1,Texas A&M University,Statistics,PhD,F20,Other,Other,8 Mar 2020,O,8 Mar 2020,To the poster below: Is the funding for 9 months or 12 and is there any summer support,,,,,
2,Texas A&M University - College Station,Statistics,PhD,F20,Accepted,E-mail,7 Feb 2020,A,8 Mar 2020,monthly stipend of $2444 + full tuition and fee waiver.,,,,,
3,UMass-Amherst,Statistics,PhD,F20,Other,Other,8 Mar 2020,O,8 Mar 2020,Has anyone heard anything yet?,,,,,
4,Florida State University (FSU),Statistics,PhD,F20,Accepted,E-mail,8 Mar 2020,I,7 Mar 2020,"I'm admitted on March 4, and the funding decision is sent today. TA with 15000+ stipend + tuition waiver.",,,,,
5,Iowa State University,Statistics,PhD,F20,Wait listed,Website,8 Mar 2020,A,7 Mar 2020,,3.78,163.0,168.0,4.0,880.0
6,Toulouse School Of Economics,Econometrics And Statistics,Masters,F20,Accepted,E-mail,6 Mar 2020,I,7 Mar 2020,Background: top grades from North-European university. Exchange year at top-5 economics department in the US. Straight A's and 3 LORs from professors there + RA work during my exchange (and back home).,,164.0,166.0,4.5,
7,University Of British Columbia,Statistics,Masters,F20,Other,Other,7 Mar 2020,U,7 Mar 2020,Correction for post below. Found rejected email in junk box. Generic rejection. Not a student with math or statistic background. It's a good try though.,,,,,
8,University Of British Columbia,Statistics,Masters,F20,Rejected,Postal Service,6 Mar 2020,U,7 Mar 2020,Status changed on the portal. No email received.,,,,,
9,Columbia University,Statistics,PhD,F20,Rejected,E-mail,6 Mar 2020,I,7 Mar 2020,,4.0,160.0,162.0,3.5,
10,University Of Michigan,Statistics,PhD,F20,Other,Other,7 Mar 2020,O,7 Mar 2020,Has anyone on the waitlist heard back from the department yet?,,,,,
11,"University Of California, Davis",Statistics,Masters,F20,Accepted,Website,6 Mar 2020,U,7 Mar 2020,,,,,,
12,University Of British Columbia,Statistics,Masters,F20,Rejected,E-mail,7 Mar 2020,I,7 Mar 2020,"Canadian Undergrad with Honours in math and Major in Econ, two scholarships, TA experience, GPA 82/100, only submitted 2 recommendation (they require 3)",,,,,
13,University Of New Hampshire,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,I,7 Mar 2020,"To the poster below:

Have you received any funding information from the department?",3.69,0.0,158.0,0.0,
14,UNC Charlotte,Statistics,PhD,F20,Accepted,E-mail,3 Mar 2020,I,7 Mar 2020,"To the poster below: 
Where are you from? Can you share your profile?",3.69,0.0,158.0,0.0,
15,"University Of California, Berkeley",Statistics,PhD,F20,Rejected,Website,7 Mar 2020,,6 Mar 2020,,,,,,
16,Columbia University,Statistics,PhD,F20,Rejected,E-mail,7 Mar 2020,I,6 Mar 2020,,,,,,
17,UBC,Statistics,Masters,F20,Rejected,E-mail,7 Mar 2020,U,6 Mar 2020,"Canadian Undergrad in a top 50 uni worldwide. All A’s in math courses, two research experiences.",,,,,
18,McGill University,Statistics,Masters,F20,Accepted,E-mail,27 Feb 2020,I,6 Mar 2020,McGill undergrad in CS and Stats with two research experiences. 3.97 GPA for final two years.,,,,,
19,Columbia University,Statistics,PhD,F20,Rejected,E-mail,6 Mar 2020,A,6 Mar 2020,Email to check website,,,,,
20,Iowa State University,Statistics,PhD,F20,Other,Other,6 Mar 2020,I,6 Mar 2020,Has anyone got any update from the Statistics department yet?,,,,,
21,Columbia University,Statistics,PhD,F20,Rejected,E-mail,6 Mar 2020,I,6 Mar 2020,,,,,,
22,Columbia University,Statistics,PhD,F20,Rejected,Website,6 Mar 2020,,6 Mar 2020,E-mail to check the application status. No interview. Very unhappy with the result. No acceptance until now...,,,,,
23,UNC Charlotte,Statistics,PhD,F20,Accepted,E-mail,3 Mar 2020,I,6 Mar 2020,"Emailed me about unofficial admission and funding!
I am super excited, and I will go to this school.",,,,,
24,University Of New Hampshire,Statistics,PhD,F20,Accepted,E-mail,29 Feb 2020,I,6 Mar 2020,"Emailed me the decision has been made and asked to check the website.
",,,,,
25,University Of Florida,Statistics,PhD,F20,Rejected,E-mail,6 Mar 2020,I,6 Mar 2020,Bye bye~ Florida,,,,,
26,University Of Florida,Statistics,PhD,F20,Rejected,E-mail,6 Mar 2020,I,6 Mar 2020,,,,,,
27,Oxford University,Statistics,PhD,F20,Other,Other,6 Mar 2020,I,6 Mar 2020,TTPB: I am also waiting to hear back after an interview for StatML. Keep me posted!,,,,,
28,University Of British Columbia,Statistics,Masters,F20,Rejected,E-mail,6 Mar 2020,U,6 Mar 2020,,,,,,
29,University Of British Columbia,Statistics,Masters,F20,Rejected,E-mail,6 Mar 2020,I,5 Mar 2020,,3.76,145.0,155.0,3.5,
30,Columbia University,Statistics,PhD,F20,Rejected,Website,5 Mar 2020,A,5 Mar 2020,I have full funding from an outside source. Still rejected :(,,,,,
31,Columbia University,Statistics,PhD,F20,Rejected,E-mail,5 Mar 2020,A,5 Mar 2020,,,,,,
32,Columbia University,Statistics,PhD,F20,Rejected,Website,5 Mar 2020,A,5 Mar 2020,,,,,,
33,University Of Oxford,Statistics,PhD,S20,Interview,E-mail,14 Feb 2020,U,5 Mar 2020,Has anyone heard from them after interview?,,,,,
34,NCSU (North Carolina State University),Statistics,Masters,F20,Accepted,E-mail,5 Mar 2020,A,5 Mar 2020,,,,,,
35,Northwestern University,Statistics,PhD,F20,Rejected,E-mail,5 Mar 2020,U,5 Mar 2020,,,,,,
36,University Of Oxford,EPSRC CDT In Modern Statistics And Statistical Machine Learning At Imperial And Oxford (StatML),PhD,F20,Interview,E-mail,18 Feb 2020,I,5 Mar 2020,Had a relatively short-notice interview. Anyone else having been interviewed and waiting for the decision (supposedly this week?),,,,,
37,University Of Toronto,Statistics,Masters,F20,Other,Other,5 Mar 2020,O,5 Mar 2020,To the poster below: Are you from China and what deadline have they given you to accept the offer.,,,,,
38,University Of Toronto,Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,I,5 Mar 2020,"International student, GPA 3.9X, full-time studied stat for 4 years, some research experience, got admitted by email. This is a self-funded program starting from this year, and the tuition is almost 3 times of domestic. So still wondering if I will go... (Best of luck for rest of you~)",,,,,
39,"University Of California, Berkeley",Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,A,5 Mar 2020,,,,,,
40,Florida State University (FSU),Statistics,PhD,F20,Accepted,Postal Service,4 Mar 2020,I,4 Mar 2020,"funding is not mentioned, I don't think this school really gives out sincere offers...",,,,,
41,University Of Cambridge (UK),MASt In Mathematical Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,,4 Mar 2020,,,,,,
42,University Of Cambridge (UK),Mathematical Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,,4 Mar 2020,,,,,,
43,University Of Victoria,Statistics,Masters,F20,Other,Other,4 Mar 2020,,4 Mar 2020,Does anyone get accepted letter from master of statistics program(fall 2020)?,,,,,
44,Utah State University,Statistics,PhD,F20,Accepted,E-mail,5 Feb 2020,A,4 Mar 2020,,4.0,160.0,168.0,4.0,
45,Northwestern University,Statistics,PhD,F20,Other,E-mail,4 Mar 2020,U,4 Mar 2020,"to the stat@northwestern post below, when is the on-campus visit?",,,,,
46,University Of Toronto,Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,I,4 Mar 2020,,,,,,
47,UC Santa Barbara (UCSB),Applied Probability & Statistics,PhD,F20,Other,Other,4 Mar 2020,O,4 Mar 2020,"Has anyone heard from this program? Only saw 3 results on the Gradcafe, and the notification dates are Feb 19th, Feb 7th and Jan. A little bit weird, I though the graduate school will send out the results at the same time.",,,,,
48,Johns Hopkins University,Applied Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,U,4 Mar 2020,With tuition funding of 8300/year.,3.95,148.0,170.0,3.5,810.0
49,Rice University,Statistics,PhD,F20,Other,Phone,4 Mar 2020,U,4 Mar 2020,"I asked staff there, and she told me the first round offers were sent long time ago. Whether there's second round depends on the acceptance rate.    But I don't know further detail, and I think there wouldn't be another round. Sad.",,,,,
50,Rice University,Statistics,PhD,F20,Other,Other,4 Mar 2020,U,4 Mar 2020,That's it for this F2020 admission? Will there be further acceptance?,,,,,
51,Johns Hopkins University,Applied Statistics,Masters,F20,Accepted,E-mail,4 Mar 2020,U,3 Mar 2020,"This is the M.S.E program, not the M.A program",3.95,148.0,170.0,3.5,810.0
52,Penn State University,Master Of Applied Statistics,Masters,F20,Rejected,E-mail,3 Mar 2020,U,3 Mar 2020,.... 1st rej,,,,,
53,Boston University,Statistics In Natural Science And Arts Dept,PhD,F20,Rejected,E-mail,4 Mar 2020,U,3 Mar 2020,,,,,,
54,University Of Minnesota,Statistics,PhD,F20,Rejected,E-mail,3 Mar 2020,U,3 Mar 2020,,,,,,
55,"University Of California, Los Angeles",Statistics,PhD,F20,Accepted,E-mail,3 Mar 2020,U,3 Mar 2020,,,,,,
56,Northwestern University,Statistics,PhD,F20,Interview,E-mail,2 Mar 2020,I,3 Mar 2020,phone interview,,,,,
57,Carnegie Mellon University (CMU) - Robotics Institute,Statistics,PhD,F20,Accepted,Website,2 Mar 2020,I,3 Mar 2020,,,,,,
58,Columbia University,Statistics,PhD,F20,Other,Other,3 Mar 2020,O,2 Mar 2020,How come there is just one acceptance from Columbia? Do they send the offers on a rolling basis?,,,,,
59,Penn State (Pennsylvania State University),Applied Statistics,Masters,F20,Rejected,E-mail,3 Mar 2020,,2 Mar 2020,Expected,,,,,
60,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Wait listed,E-mail,2 Mar 2020,A,2 Mar 2020,,3.66,170.0,166.0,5.0,
61,Duke,Statistics,PhD,F20,Rejected,Website,2 Mar 2020,A,2 Mar 2020,,,,,,
62,Carnegie Mellon University,Statistics And Public Policy,PhD,F20,Wait listed,Website,2 Mar 2020,I,2 Mar 2020,,,,,,
63,Virginia Tech,Statistics,PhD,F20,Interview,E-mail,2 Mar 2020,U,2 Mar 2020,"Has anyone received the interview invitation? 
Ps. I guess they want to make funding decisions based on interview performance because I already got acceptance letter but no funding info mentioned.",,,,,
64,University Of Nebraska,Statistics,PhD,F20,Accepted,E-mail,28 Feb 2020,A,2 Mar 2020,Nothing in the letter mentioning what the funding package is.,3.5,160.0,163.0,4.0,
